aafkagh-,to burst
uksughte-,to spend the winter
uksughtu-,to be old 
uksugh-,to be winter
uksuqaate-,to be caught by winter
ukughhite-,to have recently married and moved in with one's husband's family
ulaagh-,to align so that (it -- narrow object) can enter an opening; to turn edgewise or on its side
ulag-,to cut with a woman's semi-lunar knife
ulakitaagh-,to tag; to play tag
ulape-,to exercise physically outdoors; to strengthen oneself
ulave-,to spread out; to disperse
ulevaghaghte-,to be fully laden; to load full up
uleve-,to flood; to overflow
ulig-,to cover with a blanket
uliigh-,to put on hunting boots
ulimanqegsagh-,to redo; to correct
ulima-,to make; to build; to carve; to fix
ullegh-,to fall over
ullghitagh-,to roll
ulmighte-,to pull back the bowstring preparatory to firing an arrow
ulpegte-,to run with all one's might
ulpig-,to run with all one's might
ulug-,to soften skin, paper, etc., by flexing it with a circular motion of the hands
ululiqe-,to be sarcastic; to speak inappropriately
ululliqe-,to be sarcastic; to speak inappropriately
ulungigh-,to become silent; to stop talking
ulungite-,to be silent; to be speechless
uluraaghinagh-,to communicate orally
umegte-,to get stormy
umeg-,to close; to close door; to shut; for weather to close in
umsighqe-,to mend; to sew up
umughqaa-,to experience sleep paralysis (a condition where one feels paralyzed upon wakening or partially wakening); to experience paresthesia ("pins and needles" feeling in part of the body); to thicken
umukesugnite-,to be dull; to be slow at learning; clumsy
umutu-,to be thick
umu-,to be thick (of ice, paper, etc.); to sleep dreamily
umyugaghlliqe-,to be contrary or difficult in disposition
umyugaghsi-,to be unauthorized
umyugange-,to become mature in mentality
umyugiighute-,to lose one's mind
umyugiite-,to be insensitive; to be thoughtless
unaangu-,to be morning
unaaqusite-,to postpone until morning
unaaqute-,for morning to come
unaayagh-,to go out early in the morning
unake-,to catch by hunting; to hit (with bullet, spear, etc.)
unange-,to catch game (especially seal)
unangniigh-,to hunt; to hunt seals
unangsagh-,to catch lots of seals
unatagh-,to pick greens
unaymigh-,to feel capable of acting
uneghmig-,to put under one's arm; to carry or clutch under one's arm
unegte-,to stay behind; to leave or be left behind
ungagigh-,to shave
ungasqi-,to be capricious without enjoyment
ungelegte-,to shake; to tremble
ungigh-,to soften
ungiighte-,to become covered with whiskers
ungilagsaghagh-,to cause to itch
ungilag-,to itch
ungipaate-,to tell
ungipaghagh-,to tell a traditional story
ungipaghqe-,for an unfortunate event to occur
ungipaghsugh-,to ask for news or other information
ungipagh-,to spread news; to inform
ungipamsug-,to relate; to tell
ungipange-,to hear news
ungipaqfigite-,to be something that one cannot discuss
ungipite-,to tell
unglegh-,to nestle down in a ball (of dogs, wolves, etc.); to bed down (of an animal)
unglleg-,to gather or draw together with folds or pleats; to wrinkle with age; to withdraw from activity; to shrink
ungllevregagh-,to wrinkle; to curl
ungughte-,to take back; to pull back
unguvagh-,to come to life
unguva-,to be alive
unguvavyiigh-,to be barely alive
unguvayute-,to be barely alive
ungyugte-,to drive game in order to hunt it
uniigh-,to become limp; to lose muscle control; to become paralyzed
uniighyug-,to feel hurt emotionally; to feel offended
uniilliighaghte-,to soften; to make pliable
unite-,to leave behind
unkuseke-,to catch with trap; to trap (it)
unkuselighi-,to set traps
unkuseniigh-,to go trapping
unkusequ-,to check traps
unugaghllag-,to act or occur very early in the morning
upag-,to go down to boat or out to ship to see or help those arriving
upenghiighte-,to do something, or to stay, all through the spring
upleg-,to rush over to
upugha-,to be hospitable
upugh-,to get startled; to quaver
uqengeghte-,to be lighter in weight; to feel better after sickness; for weather to improve
uqengeghyuugte-,to feel much better
uqengelliqe-,to feel free and easy
uqengelli-,to become or make lighter in weight
uqengestagh-,to be light in weight
uqigh-,to put oil in (it); get (lots of) oil
uqigite-,to be light in weight
uqigtughte-,to increase in weight; to become heavier
uqigtu-,to be heavy
uqiigh-,to remove oil or blubber
uqiitagh-,to stay out of the wind
uqiite-,to take shelter from the wind
uqingllagh-,to make oil from blubber
uqligh-,to watch for game (or for a person)
uqliite-,to aim at; to threaten 
uqlughqagh-,to keep dripping
uqlughte-,to drip
uqughate-,to taste oily or greasy
uqughte-,to apply oil to; to add oil to; to make a dish of berries, reindeer fat, water and sugar
uqugpagnite-,to smell moldy
uqugte-,to get moldy
uqug-,to get moldy
uremte-,to joke; to kid; to tease
usiligh-,to load
usingigh-,to unload
uspeqe-,to estimate
uspequte-,to show how
uspusiqe-,to adapt to
usputagh-,to measure
uspute-,to measure; to compare
usughyug-,to be impressed
usuqesage-,to be ostentatious; to be showy
usuqe-,to praise
usuqnagh-,to be impressive
usuqsug-,to be impressed
usuqsuke-,to be impressed with
utaqalgigh-,to wait (for)
utaqa-,to wait for
uteghmigagh-,to multiply (mathematically)
uteghmigh-,to return from a trip
uteghnigh-,to return from a trip
uteghpaarkitaagh-,to pace back and forth
uteghpaghte-,to return quickly
uteghpagtagh-,to go back and forth; to do over again
uteghte-,to come back; to turn back; to return; to change plans
uteghvagh-,to step or pull back; to go further into the house
uughhe-,to drift away with the current; to get gooey; to be dirtied
uughqaghte-,to suddenly get up onto something
uughtugh-,to wash one's hands
uugllegagh-,to come up in a group
uugte-,to get up onto something
uuknaliqe-,to prophecy
uulte-,to turn inside-out; to gossip about; to bad-mouth; to change one's character when becoming mature
uunghaghsi-,to aim harpoon
uupte-,to burst out crying
uusqagh-,to be deep; to be high
uusqite-,to reach a deep area
uutghumigtagh-,to repeat over and over
uutghute-,to return (it); to bring back; to change one's mind about
uutqiigh-,to move back or backward
uuynite-,to have a strong underarm odor
uvagha-,to roll around (of dogs, children); to show by one's body movements and expressions that one is pleased with what is being said about him (slang)
uveghni-,to be pleased; to be thankful; to be full of pride and joy
uvegh-,to keel over; to topple; to capsize; to overturn; to get carried away with what one is doing
uvegtagh-,to be tossed upwards from a walrus hide held taut around the edges by a group of people; to engage in a traditional "blanket toss"
uvegte-,to act before something else happens
uvelegtagh-,to vibrate; to bounce
uvinke-,to rely on; to depend on; to confide in
uvinkwaa-,to feel like one is in the same unfortunate situation as another
uvitangigh-,to pass close by (it)
uvitmig-,to put (it) in the yard
uvleghsagh-,to shine (it); to polish; to clean thoroughly
uvleghtagh-,to flash
uvlegh-,to shimmer; to glitter; to be shiny
uyamig-,to carry on one's shoulder
uyangte-,to stretch one's neck to see better
uyaqughlliqe-,to have neck pains
uyatiite-,to start to approach; to near; to narrow the distance to (it)
uyatu-,to be far away; to be distant (in space or time)
uyavagh-,to go far
uyegte-,to pass things out; to distribute things
uyengpalla-,to bounce or bob up and down from a squatting position
uyengqagh-,to slowly bob up and down
uyghagtightugh-,to surround with rocks
uyghigh-,to set an anchor (for boat or dogteam)
uygii-,to bleach sealskin for trimming material
uyguma-,to coo (to); to play laughingly (of children); to be attracted to each other (of young adults); to tease in a friendly way
uygunghigh-,to disconnect an extension; to untie
uyguregagh-,to embellish or otherwise add to a story
uygu-,to extend; to add length to
uyug-,to have sexual intercourse
uyvala-,to practice sorcery
uyvasaghqe-,to ward off evil spirits or sorcery by performing rituals
uyviligh-,to forbid; to convince
uzifqaghte-,to revolve fast or suddenly
uziveketaagh-,to spin; to go circles rapidly
uzive-,to revolve; to go around; to rotate
uzivgagh-,to keep on revolving or going around something
uzivneghtu-,to revolve fast or often
veghite-,to somersault in the air; to flip over forward (of a whale or person)
veghsaghtugh-,to go over to retrieve
veghte-,to take back something one has sold or given away; to repossess
veghute-,to give something back
vegtagh-,to gather grass
vuu-,to pile up (of ice on the water); to jam (of ice)
waakaghsigate-,to be inattentive; to be unaware
waakaghte-,to be attentive
waakenghillghaghte-,to startle; to surprise; to scare
waakigate-,to not care; to not respond; to not pay attention
waaknanigh-,to lose interest; to get distracted; to get sidetracked
waame-,to rush around; to hurry for fear of running out of time
waamte-,to joke; to kid; to tease; to fool
waapae-,tow rope for boat
wag'tiili-,to leave a place of rest
walamnaag-,to file
wangilqe-,to be occupied (with); to be engaged (in)
wangi-,to sew
wawernga-,to maul; to fight (of dog)
wayagh-,to despoil; to pillage
wenigh-,to say "ah";  to be surprised
wesqaawi-,to feel defeated; to feel incapable; to lack confidence; to lose hope; to despair
wetngaqwa-,to crack from the cold
wetngegh-,to burst, burst, break or drack, especially due to temperature change (as ice cracking in the winter, or a container that freezes and cracks)
whaante-,to be here
whamiigh-,to adopt as one's child; to acquire
whatete-,to be like this; to be this way
wisqaawi-,to feel defeated; to feel incapable; to lack confidence; to lose hope; to despair
yaagigh-,to remove large pieces to make the contents uniform; to chop up; to crush
yaagpagte-,to dance hard when drummers drum hard
yaagtagh-,to pull hand over hand
yaagtu-,to have large prominent features, patterns or actions
yaag-,to crouch
yaave-,to row
yaavghagh-,to continue to row
yaavuqugh-,to continue to row
yaawagh-,to add oil to fire to make it burn better
yaayasi-,to waste; to be mischievous; to take things for granted
yaghaghaghte-,to become disjointed by being bent too far in the wrong direction (of person or animal or its limb)
yaghrantate-,to increase; to love more; to pay more attention
yagtaghagh-,to fly low (of birds); to crouch (of people)
yakeregtagh-,to speak quietly; to whisper
yakiisghaqi-,to beat everyone in a competition
yakughniigh-,to travel in a risky or dangerous area or conditions
yakughte-,to be careful, quiet and cautious
yakughute-,to respect religous mourning over a person's death
yakumangigh-,to correct oneself
yakungigh-,to raise the voice; to pretend to be unafraid
yakuqe-,to be careful; to be quiet
yakuqigate-,to be careless; to be boisterous
yamrra-,to announce one's accomplishments
yanutqu-,to interrrupt other's talking
yapuyengi-,to do something different to alter the usual routine
yaqghighagh-,to hit or hurt on the wing
yaqii-,to move with wings; to wing
yaquke-,to be rough with
yaquqegsagh-,to flap wings before taking off in flight
yataaghqe-,to prepare; to get ready
yeghyake-,to feel an aversion to certain foods
yeghyiqe-,to feel an aversion to certain foods
yiillgagh-,to act (especially to leave) suddenly or unexpectedly
yiillgi-,to gossip; to talk about behind one's back (or in a way that the target is expected not to understand)
yite-,to advise against doing something; to warn
yughagh-,to pray; to worship
yugniite-,to be homely
yugpallaghte-,to get old
yugsange-,to become aware of someone's presence; to lift up the head
yugsughagh-,to look around
yugsugnite-,to resemble a man or a person
yugtagh-,to murder
yugtu-,to be populous
yugughte-,to become a man or a person
yuguligh-,to save
yuguma-,to be or stay alive
yugunqegsi-,to be healthy
yugunqegte-,to be healthy
yugu-,to live
yuguyugniqe-,to be arrogant
yugyag-,for population to increase; for new players to join a game
yuknagh-,to be desirable as a crewman
yuksagute-,to take (him) as a crewman
yukumighte-,to sit cross-legged
yukutate-,to be damp
yungllagh-,to make (create) a man; to carve a figure of a man; to get a crewman
yupallagh-,to be aging
yupallagte-,to become a middle-aged person
yupallatangite-,to be empty of people; to be uninhabited
Yupigti-,to speak Yupik
